latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-8.69,-62.6117,501.7,1.0,1.0,2021-08-05,1754,Aqua,MODIS,100,6.03,400.1,1682.9,D,0
-6.6096,-58.679,501.6,1.5,1.2,2021-08-11,1718,Aqua,MODIS,94,6.03,400.1,2829.9,D,0
-13.8063,-44.6344,501.6,1.4,1.2,2021-09-20,1626,Aqua,MODIS,100,6.03,400.1,2699.5,D,0
-9.0595,-67.5015,501.6,1.4,1.2,2021-08-24,1825,Aqua,MODIS,94,6.03,338.9,2570.3,D,0
-8.5789,-67.1217,501.6,1.8,1.3,2021-08-14,1748,Aqua,MODIS,100,6.03,332.2,3732.4,D,0
-8.7578,-63.142,501.4,1.0,1.0,2021-08-05,1754,Aqua,MODIS,100,6.03,400.1,1636.1,D,0
-8.8898,-62.5594,501.3,1.0,1.0,2021-08-21,1754,Aqua,MODIS,100,6.03,400.1,1676.7,D,0
-20.4298,-49.2278,501.2,1.0,1.0,2021-09-21,1707,Aqua,MODIS,100,6.03,400.1,1654.6,D,0
-11.4696,-43.7474,500.4,1.0,1.0,2021-10-04,1639,Aqua,MODIS,89,6.03,400.1,1618.9,D,0
-11.6561,-43.5474,500.0,1.1,1.1,2021-09-23,135,Terra,MODIS,100,6.03,387.1,1916.9,N,0
-11.6546,-43.5371,500.0,1.1,1.1,2021-09-23,135,Terra,MODIS,100,6.03,371.6,1919.2,N,0
-6.5831,-45.3354,500.0,1.0,1.0,2021-08-21,1319,Terra,MODIS,100,6.03,363.3,1673.7,D,0
-15.0471,-43.3095,500.0,1.0,1.0,2021-09-16,128,Terra,MODIS,100,6.03,360.1,1601.5,N,0
-15.0381,-43.3109,500.0,1.0,1.0,2021-09-16,128,Terra,MODIS,100,6.03,357.2,1602.2,N,0
-7.683,-61.1957,500.0,1.1,1.0,2021-08-25,1434,Terra,MODIS,100,6.03,353.6,1795.1,D,0
-18.1554,-52.9442,500.0,1.4,1.2,2021-07-10,154,Terra,MODIS,100,6.03,352.7,2673.9,N,0
-7.6869,-61.2126,500.0,1.1,1.0,2021-08-25,1434,Terra,MODIS,87,6.03,347.4,1800.4,D,0
-22.024,-57.6914,500.0,1.0,1.0,2021-08-22,1407,Terra,MODIS,100,6.03,346.0,1616.1,D,0
-22.015,-57.69,500.0,1.0,1.0,2021-08-22,1407,Terra,MODIS,100,6.03,344.6,1616.1,D,0
-18.1464,-52.9591,500.0,1.4,1.2,2021-07-10,154,Terra,MODIS,100,6.03,342.2,2681.5,N,0
-7.6882,-61.2028,500.0,1.1,1.0,2021-08-25,1434,Terra,MODIS,75,6.03,342.0,1802.7,D,0
-18.1422,-52.9661,500.0,1.4,1.2,2021-07-10,154,Terra,MODIS,100,6.03,339.9,2682.7,N,0
-22.0317,-57.7026,500.0,1.0,1.0,2021-08-22,1407,Terra,MODIS,100,6.03,339.7,1620.6,D,0
-7.6844,-61.1859,500.0,1.1,1.0,2021-08-25,1434,Terra,MODIS,100,6.03,336.7,1799.7,D,0
-7.6751,-61.1846,500.0,1.1,1.0,2021-08-25,1434,Terra,MODIS,100,6.03,335.5,1797.6,D,0
-22.0331,-57.6929,500.0,1.0,1.0,2021-08-22,1407,Terra,MODIS,100,6.03,332.3,1618.7,D,0
-12.5919,-55.1141,500.0,1.1,1.0,2021-05-20,1353,Terra,MODIS,100,6.03,332.2,1821.2,D,0
-7.7643,-61.3738,500.0,1.1,1.0,2021-08-11,1422,Terra,MODIS,100,6.03,332.2,1734.9,D,0
-19.8668,-57.5876,500.0,1.3,1.1,2021-09-21,1418,Terra,MODIS,100,6.03,331.7,2334.7,D,0
-12.0891,-54.5108,500.0,3.5,1.8,2021-06-18,1322,Terra,MODIS,100,6.03,331.6,9712.7,D,0
-10.9388,-43.5606,500.0,1.3,1.1,2021-07-31,1302,Terra,MODIS,100,6.03,330.4,2226.1,D,0
-7.6896,-61.193,500.0,1.1,1.0,2021-08-25,1434,Terra,MODIS,87,6.03,326.6,1805.6,D,0
-11.6576,-43.5576,500.0,1.1,1.1,2021-09-23,135,Terra,MODIS,100,6.03,324.2,1913.6,N,0
-17.3059,-57.3845,500.0,1.0,1.0,2021-10-24,229,Terra,MODIS,100,6.03,323.7,0.0,N,0
-6.8718,-59.6686,500.0,1.1,1.0,2021-08-18,1427,Terra,MODIS,100,6.03,322.5,1762.8,D,0
-12.104,-54.488,500.0,3.4,1.7,2021-06-18,1322,Terra,MODIS,100,6.03,321.3,9637.5,D,0
-17.2968,-57.386,500.0,1.0,1.0,2021-10-24,229,Terra,MODIS,100,6.03,317.4,0.0,N,0
-12.0982,-54.5197,500.0,3.5,1.8,2021-06-18,1322,Terra,MODIS,100,6.03,315.1,9722.6,D,0
-15.0052,-43.2564,499.9,1.3,1.1,2021-09-16,1650,Aqua,MODIS,100,6.03,400.1,2324.2,D,0
-9.7518,-43.7346,499.8,1.1,1.1,2021-09-20,1627,Aqua,MODIS,100,6.03,400.1,1881.4,D,0
-19.5387,-57.4567,499.5,1.0,1.0,2021-10-03,1733,Aqua,MODIS,87,6.03,333.4,1632.1,D,0
-6.7553,-59.2911,499.5,1.3,1.1,2021-08-18,1724,Aqua,MODIS,100,6.03,327.8,2253.9,D,0
-20.9908,-57.6477,499.0,2.0,1.4,2021-08-19,1803,Aqua,MODIS,100,6.03,339.8,4170.9,D,0
-11.5109,-43.419,499.0,3.2,1.7,2021-09-21,1710,Aqua,MODIS,87,6.03,334.1,8528.0,D,0
-5.0641,-47.8231,498.6,1.0,1.0,2021-10-11,1647,Aqua,MODIS,100,6.03,326.1,1579.3,D,0
-19.9719,-48.6069,498.5,1.5,1.2,2021-09-09,1643,Aqua,MODIS,94,6.03,322.3,2942.5,D,0
-11.4994,-54.0267,497.4,1.5,1.2,2021-06-29,1734,Aqua,MODIS,100,6.03,400.1,2721.3,D,0
